[video 0000s] pipeline           [--------------------] 0/12 start paper/project-to-video build | input=inputs/papers/Automatic Video Generation.pdf out=experiments/video_output/paper2video_full_20260723_144058 api=on fps=24
[video 0000s] ingest             [##------------------] 1/12 load source | kind=paper
[video 0007s] ingest             [##------------------] 1/12 source loaded | title=preprint chars=62297
[video 0007s] pipeline           [###-----------------] 2/12 run builders and judge loop
[video 0007s] slide_builder      start initial slide generation | api=on provider=lumid max_slides=10
[video 0007s] text_model         request chat/completions | provider=lumid model=qwen3.6-27b
[video 0040s] text_model         response received | provider=lumid model=qwen3.6-27b
[video 0040s] slide_builder      [##########----------] 5/10 slides ready | actual=5
[video 0040s] subtitle_builder   [--------------------] 0/5 build timed subtitles | seconds_per_slide=22
[video 0040s] subtitle_builder   [####################] 14/14 subtitles ready | items=14
[video 0040s] cursor_builder     [--------------------] 0/14 build cursor plan | vlm=on
[video 0040s] cursor_builder     [#-------------------] 1/14 ground cursor with VLM | slide=1
[video 0040s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0044s] vlm_cursor         vision response received | model=qwen-omni
[video 0044s] cursor_builder     [#-------------------] 1/14 VLM cursor point ready | slide=1 x=25 y=30
[video 0044s] cursor_builder     [###-----------------] 2/14 ground cursor with VLM | slide=1
[video 0044s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0048s] vlm_cursor         vision response received | model=qwen-omni
[video 0048s] cursor_builder     [###-----------------] 2/14 VLM cursor fallback | slide=1 using heuristic x=48 y=36
[video 0048s] cursor_builder     [####----------------] 3/14 ground cursor with VLM | slide=1
[video 0048s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0135s] vlm_cursor         vision request failed | RemoteDisconnected: Remote end closed connection without response
[video 0135s] cursor_builder     [####----------------] 3/14 VLM cursor fallback | slide=1 using heuristic x=72 y=44
[video 0135s] cursor_builder     [######--------------] 4/14 ground cursor with VLM | slide=2
[video 0135s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0142s] vlm_cursor         vision response received | model=qwen-omni
[video 0142s] cursor_builder     [######--------------] 4/14 VLM cursor fallback | slide=2 using heuristic x=38 y=62
[video 0142s] cursor_builder     [#######-------------] 5/14 ground cursor with VLM | slide=2
[video 0142s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0147s] vlm_cursor         vision request failed | URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)>
[video 0147s] cursor_builder     [#######-------------] 5/14 VLM cursor fallback | slide=2 using heuristic x=66 y=70
[video 0147s] cursor_builder     [#########-----------] 6/14 ground cursor with VLM | slide=2
[video 0147s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0153s] vlm_cursor         vision response received | model=qwen-omni
[video 0153s] cursor_builder     [#########-----------] 6/14 VLM cursor fallback | slide=2 using heuristic x=20 y=28
[video 0153s] cursor_builder     [##########----------] 7/14 ground cursor with VLM | slide=3
[video 0153s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0157s] vlm_cursor         vision response received | model=qwen-omni
[video 0157s] cursor_builder     [##########----------] 7/14 VLM cursor fallback | slide=3 using heuristic x=48 y=36
[video 0157s] cursor_builder     [###########---------] 8/14 ground cursor with VLM | slide=3
[video 0157s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0161s] vlm_cursor         vision response received | model=qwen-omni
[video 0161s] cursor_builder     [###########---------] 8/14 VLM cursor fallback | slide=3 using heuristic x=72 y=44
[video 0161s] cursor_builder     [#############-------] 9/14 ground cursor with VLM | slide=3
[video 0161s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0165s] vlm_cursor         vision response received | model=qwen-omni
[video 0165s] cursor_builder     [#############-------] 9/14 VLM cursor fallback | slide=3 using heuristic x=38 y=62
[video 0165s] cursor_builder     [##############------] 10/14 ground cursor with VLM | slide=4
[video 0165s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0170s] vlm_cursor         vision response received | model=qwen-omni
[video 0170s] cursor_builder     [##############------] 10/14 VLM cursor fallback | slide=4 using heuristic x=66 y=70
[video 0170s] cursor_builder     [################----] 11/14 ground cursor with VLM | slide=4
[video 0171s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0263s] vlm_cursor         vision request failed | TimeoutError: The read operation timed out
[video 0263s] cursor_builder     [################----] 11/14 VLM cursor fallback | slide=4 using heuristic x=20 y=28
[video 0263s] cursor_builder     [#################---] 12/14 ground cursor with VLM | slide=4
[video 0292s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0296s] vlm_cursor         vision response received | model=qwen-omni
[video 0296s] cursor_builder     [#################---] 12/14 VLM cursor fallback | slide=4 using heuristic x=48 y=36
[video 0296s] cursor_builder     [###################-] 13/14 ground cursor with VLM | slide=5
[video 0296s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0301s] vlm_cursor         vision response received | model=qwen-omni
[video 0301s] cursor_builder     [###################-] 13/14 VLM cursor fallback | slide=5 using heuristic x=72 y=44
[video 0301s] cursor_builder     [####################] 14/14 ground cursor with VLM | slide=5
[video 0301s] vlm_cursor         request vision grounding | model=qwen-omni
[video 0306s] vlm_cursor         vision request failed | URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)>
[video 0306s] cursor_builder     [####################] 14/14 VLM cursor fallback | slide=5 using heuristic x=38 y=62
[video 0306s] cursor_builder     [####################] 14/14 cursor plan ready | points=14
[video 0306s] talker_builder     build narration/talker plan | subtitle_items=14
[video 0306s] talker_builder     talker plan ready | chars=2386
[video 0306s] judge_agent        [#####---------------] 1/4 evaluate storyboard | target=0.88
[video 0306s] text_model         request chat/completions | provider=lumid model=qwen3.6-27b
[video 0335s] text_model         response received | provider=lumid model=qwen3.6-27b
[video 0335s] judge_agent        [#####---------------] 1/4 judge result | score=0.200 satisfied=False next=slide_builder,subtitle_builder,cursor_builder,talker_builder
[video 0335s] revise_builder     [#######-------------] 1/3 revise slides and downstream modules | slide_builder -> subtitle_builder -> cursor_builder -> talker_builder
[video 0335s] text_model         request chat/completions | provider=lumid model=qwen3.6-27b
[video 0377s] text_model         request failed | HTTPError: HTTP Error 408: Request Time-out
[video 0377s] slide_builder      [##########----------] 5/10 revised slides ready | round=1
